Latitude,Longitude,Crop Type,City Name,Temperature,Humidity,Wind Speed,Weather Description,2023 IN MM,2022 IN MM
19.07609,139.691711,Cotton,Agra,15,55,9,Clear,532,551
19.07609,37.617298,Passion Fruit,Ahmedabad,1,32,12,Clear,729,705
19.07609,-74.005974,Oats,Aizawl,17,22,27,Sunny,928,799
19.07609,-118.243683,Beetroot,Ajmer,18,54,7,Sunny,868,916
19.07609,13.404954,Ashwagandha,Aligarh,10,43,22,Clear,723,908
19.07609,2.352222,Cotton,Allahabad (Prayagraj),12,100,12,Light Rain,686,996
19.07609,-0.127758,Cucumber,Amaravati,13,82,8,Clear,728,579
19.07609,-122.419418,Cotton,Ambala,14,77,11,Partly cloudy,717,586
19.07609,72.877426,Bitter Gourd,Amritsar,27,74,8,Haze,1066,1178
19.07609,70.800705,Mushrooms,Aurangabad,27,30,9,Clear ,719,528
22.308155,37.617298,Papaya,Bangalore (Bengaluru),1,32,12,Clear,894,973
22.308155,13.404954,Bitter Gourd,Bareilly,10,43,22,Clear,668,754
22.308155,-118.243683,Drumstick,Belgaum (Belagavi),18,54,7,Sunny,1417,1357
22.308155,2.352222,Cotton,Bhagalpur,12,100,12,Light Rain,896,734
22.308155,-0.127758,Cucumber,Bharatpur,13,82,8,Clear,1690,1168
22.308155,-122.419418,Millets,Bhatinda,14,77,11,Partly cloudy,764,839
22.308155,139.691711,Coriander (Dhaniya),Bhilai,15,55,6,Clear,883,849
22.308155,72.877426,Kiwi,Bhiwandi,27,74,8,Haze,701,836
22.308155,-0.127758,Linseed,Bhopal,13,82,7,Clear,962,826
22.308155,70.800705,Oats,Bhubaneswar,27,30,9,Clear ,583,640
22.308155,-74.005974,Linseed,Bikaner,17,22,33,Sunny,1043,1746
22.308155,-122.419418,Garlic,Bilaspur,14,77,14,Partly cloudy,1990,2608
22.308155,-118.243683,Cherry,Bokaro,18,54,10,Sunny,1006,974
34.052235,70.800705,Cocoa,Chandigarh,27,30,9,Clear ,587,736
34.052235,-122.419418,Black Gram,Chennai,14,77,14,Partly cloudy,868,1126
