,precision,recall,f1-score,support
Apple___Apple_scab,0.9322033898305084,0.9649122807017544,0.9482758620689655,57.0
Apple___Black_rot,0.8421052631578947,0.9696969696969697,0.9014084507042254,66.0
Apple___Cedar_apple_rust,0.9032258064516129,1.0,0.9491525423728814,28.0
Apple___healthy,0.9506172839506173,0.9447852760736196,0.9476923076923077,163.0
Blueberry___healthy,0.9936305732484076,0.975,0.9842271293375394,160.0
Cherry_(including_sour)___Powdery_mildew,0.9693877551020408,0.9693877551020408,0.9693877551020408,98.0
Cherry_(including_sour)___healthy,0.9761904761904762,0.9879518072289156,0.9820359281437125,83.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7872340425531915,0.7254901960784313,0.7551020408163265,51.0
Corn_(maize)___Common_rust_,0.9915966386554622,0.9915966386554622,0.9915966386554622,119.0
Corn_(maize)___Northern_Leaf_Blight,0.8543689320388349,0.8979591836734694,0.8756218905472637,98.0
Corn_(maize)___healthy,1.0,1.0,1.0,116.0
Grape___Black_rot,0.9576271186440678,0.9416666666666667,0.9495798319327731,120.0
Grape___Esca_(Black_Measles),0.9507042253521126,0.9642857142857143,0.9574468085106383,140.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9722222222222222,0.9859154929577465,108.0
Grape___healthy,0.9767441860465116,1.0,0.9882352941176471,42.0
Orange___Haunglongbing_(Citrus_greening),0.9937629937629938,0.987603305785124,0.9906735751295337,484.0
Peach___Bacterial_spot,0.9953271028037384,0.9301310043668122,0.9616252821670429,229.0
Peach___healthy,0.7959183673469388,1.0,0.8863636363636364,39.0
"Pepper,_bell___Bacterial_spot",0.8991596638655462,0.9385964912280702,0.9184549356223176,114.0
"Pepper,_bell___healthy",0.937888198757764,0.967948717948718,0.9526813880126183,156.0
Potato___Early_blight,0.9381443298969072,0.91,0.9238578680203046,100.0
Potato___Late_blight,0.9175257731958762,0.89,0.9035532994923858,100.0
Potato___healthy,0.5217391304347826,0.75,0.6153846153846154,16.0
Raspberry___healthy,1.0,1.0,1.0,44.0
Soybean___healthy,0.9853211009174312,0.9799270072992701,0.9826166514181153,548.0
Squash___Powdery_mildew,1.0,1.0,1.0,184.0
Strawberry___Leaf_scorch,0.992,0.9763779527559056,0.9841269841269841,127.0
Strawberry___healthy,1.0,1.0,1.0,48.0
Tomato___Bacterial_spot,0.8883720930232558,0.9009433962264151,0.8946135831381733,212.0
Tomato___Early_blight,0.7228915662650602,0.6060606060606061,0.6593406593406593,99.0
Tomato___Late_blight,0.9470588235294117,0.8563829787234043,0.8994413407821229,188.0
Tomato___Leaf_Mold,0.7837837837837838,0.90625,0.8405797101449275,96.0
Tomato___Septoria_leaf_spot,0.8264840182648402,0.900497512437811,0.861904761904762,201.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8571428571428571,0.8571428571428571,0.8571428571428571,168.0
Tomato___Target_Spot,0.7191780821917808,0.75,0.7342657342657343,140.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.99800796812749,0.9329608938547486,0.9643888354186718,537.0
Tomato___Tomato_mosaic_virus,0.7708333333333334,1.0,0.8705882352941177,37.0
Tomato___healthy,0.893491124260355,0.9320987654320988,0.9123867069486404,162.0
accuracy,0.9351953267615918,0.9351953267615918,0.9351953267615918,0.9351953267615918
macro avg,0.907096473740155,0.928365163148608,0.915780753502046,5478.0
weighted avg,0.9376948323142046,0.9351953267615918,0.9355915897051538,5478.0
