,precision,recall,f1-score,support
Apple___Apple_scab,0.9310344827586207,0.9473684210526315,0.9391304347826087,57.0
Apple___Black_rot,0.8888888888888888,0.9696969696969697,0.927536231884058,66.0
Apple___Cedar_apple_rust,0.9032258064516129,1.0,0.9491525423728814,28.0
Apple___healthy,0.9625,0.9447852760736196,0.9535603715170279,163.0
Blueberry___healthy,1.0,0.9375,0.967741935483871,160.0
Cherry_(including_sour)___Powdery_mildew,0.97,0.9897959183673469,0.9797979797979798,98.0
Cherry_(including_sour)___healthy,0.9642857142857143,0.9759036144578314,0.9700598802395209,83.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.6507936507936508,0.803921568627451,0.7192982456140351,51.0
Corn_(maize)___Common_rust_,0.9831932773109243,0.9831932773109243,0.9831932773109243,119.0
Corn_(maize)___Northern_Leaf_Blight,0.8620689655172413,0.7653061224489796,0.8108108108108109,98.0
Corn_(maize)___healthy,1.0,0.9913793103448276,0.9956709956709957,116.0
Grape___Black_rot,0.9663865546218487,0.9583333333333334,0.9623430962343096,120.0
Grape___Esca_(Black_Measles),0.9645390070921985,0.9714285714285714,0.9679715302491103,140.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9553571428571429,0.9907407407407407,0.9727272727272728,108.0
Grape___healthy,1.0,1.0,1.0,42.0
Orange___Haunglongbing_(Citrus_greening),0.9776876267748479,0.9958677685950413,0.9866939611054247,484.0
Peach___Bacterial_spot,0.972972972972973,0.9432314410480349,0.9578713968957872,229.0
Peach___healthy,0.76,0.9743589743589743,0.8539325842696629,39.0
"Pepper,_bell___Bacterial_spot",0.9098360655737705,0.9736842105263158,0.940677966101695,114.0
"Pepper,_bell___healthy",0.9308176100628931,0.9487179487179487,0.9396825396825397,156.0
Potato___Early_blight,0.9489795918367347,0.93,0.9393939393939394,100.0
Potato___Late_blight,0.9183673469387755,0.9,0.9090909090909091,100.0
Potato___healthy,0.5789473684210527,0.6875,0.6285714285714286,16.0
Raspberry___healthy,1.0,0.9772727272727273,0.9885057471264368,44.0
Soybean___healthy,0.9797047970479705,0.968978102189781,0.9743119266055046,548.0
Squash___Powdery_mildew,1.0,0.9891304347826086,0.994535519125683,184.0
Strawberry___Leaf_scorch,0.9917355371900827,0.9448818897637795,0.967741935483871,127.0
Strawberry___healthy,0.96,1.0,0.9795918367346939,48.0
Tomato___Bacterial_spot,0.8693693693693694,0.910377358490566,0.8894009216589862,212.0
Tomato___Early_blight,0.6262626262626263,0.6262626262626263,0.6262626262626263,99.0
Tomato___Late_blight,0.934640522875817,0.7606382978723404,0.8387096774193549,188.0
Tomato___Leaf_Mold,0.6164383561643836,0.9375,0.743801652892562,96.0
Tomato___Septoria_leaf_spot,0.8586387434554974,0.8159203980099502,0.8367346938775511,201.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8353658536585366,0.8154761904761905,0.8253012048192772,168.0
Tomato___Target_Spot,0.7301587301587301,0.6571428571428571,0.6917293233082706,140.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9864603481624759,0.9497206703910615,0.967741935483871,537.0
Tomato___Tomato_mosaic_virus,0.8055555555555556,0.7837837837837838,0.7945205479452054,37.0
Tomato___healthy,0.872093023255814,0.9259259259259259,0.8982035928143712,162.0
accuracy,0.9235122307411464,0.9235122307411464,0.9235122307411464,0.9235122307411464
macro avg,0.8964817246398882,0.911729598144572,0.9018948018780276,5478.0
weighted avg,0.9274389393184936,0.9235122307411464,0.9240601534437887,5478.0
