,precision,recall,f1-score,support
Apple___Apple_scab,0.8076923076923077,0.7368421052631579,0.7706422018348624,57.0
Apple___Black_rot,0.8679245283018868,0.696969696969697,0.773109243697479,66.0
Apple___Cedar_apple_rust,0.46153846153846156,0.8571428571428571,0.6,28.0
Apple___healthy,0.7281553398058253,0.9202453987730062,0.8130081300813008,163.0
Blueberry___healthy,0.8705882352941177,0.925,0.896969696969697,160.0
Cherry_(including_sour)___Powdery_mildew,0.8440366972477065,0.9387755102040817,0.8888888888888888,98.0
Cherry_(including_sour)___healthy,0.971830985915493,0.8313253012048193,0.8961038961038961,83.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7659574468085106,0.7058823529411765,0.7346938775510204,51.0
Corn_(maize)___Common_rust_,0.9421487603305785,0.957983193277311,0.95,119.0
Corn_(maize)___Northern_Leaf_Blight,0.8369565217391305,0.7857142857142857,0.8105263157894737,98.0
Corn_(maize)___healthy,0.9206349206349206,1.0,0.9586776859504132,116.0
Grape___Black_rot,0.9363636363636364,0.8583333333333333,0.8956521739130435,120.0
Grape___Esca_(Black_Measles),0.8544303797468354,0.9642857142857143,0.9060402684563759,140.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.7744360902255639,0.9537037037037037,0.8547717842323651,108.0
Grape___healthy,0.6666666666666666,1.0,0.8,42.0
Orange___Haunglongbing_(Citrus_greening),0.8969465648854962,0.9710743801652892,0.9325396825396826,484.0
Peach___Bacterial_spot,0.9857142857142858,0.6026200873362445,0.7479674796747967,229.0
Peach___healthy,0.4,0.9230769230769231,0.5581395348837209,39.0
"Pepper,_bell___Bacterial_spot",0.9791666666666666,0.41228070175438597,0.5802469135802469,114.0
"Pepper,_bell___healthy",0.5867768595041323,0.9102564102564102,0.7135678391959799,156.0
Potato___Early_blight,0.7476635514018691,0.8,0.7729468599033816,100.0
Potato___Late_blight,0.825,0.66,0.7333333333333333,100.0
Potato___healthy,0.3103448275862069,0.5625,0.4,16.0
Raspberry___healthy,1.0,0.5909090909090909,0.7428571428571429,44.0
Soybean___healthy,0.9326923076923077,0.885036496350365,0.9082397003745318,548.0
Squash___Powdery_mildew,0.9675675675675676,0.9728260869565217,0.9701897018970189,184.0
Strawberry___Leaf_scorch,0.9801980198019802,0.7795275590551181,0.868421052631579,127.0
Strawberry___healthy,0.5581395348837209,1.0,0.7164179104477612,48.0
Tomato___Bacterial_spot,0.8854166666666666,0.4009433962264151,0.551948051948052,212.0
Tomato___Early_blight,0.6,0.030303030303030304,0.057692307692307696,99.0
Tomato___Late_blight,0.7446808510638298,0.5585106382978723,0.6382978723404256,188.0
Tomato___Leaf_Mold,0.37962962962962965,0.8541666666666666,0.5256410256410257,96.0
Tomato___Septoria_leaf_spot,0.5223880597014925,0.6965174129353234,0.5970149253731343,201.0
Tomato___Spider_mites Two-spotted_spider_mite,0.672316384180791,0.7083333333333334,0.6898550724637681,168.0
Tomato___Target_Spot,0.5606060606060606,0.5285714285714286,0.5441176470588235,140.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9487179487179487,0.8957169459962756,0.921455938697318,537.0
Tomato___Tomato_mosaic_virus,1.0,0.13513513513513514,0.23809523809523808,37.0
Tomato___healthy,0.7210526315789474,0.845679012345679,0.7784090909090909,162.0
accuracy,0.7946330777656079,0.7946330777656079,0.7946330777656079,0.7946330777656079
macro avg,0.7751152472674011,0.7593733733811753,0.7299073285528203,5478.0
weighted avg,0.8268986402165245,0.7946330777656079,0.7882714747354514,5478.0
